EFFIS_CLASS,CLC18_CLASS,CLC18_NAME_ITALIAN,CLC18_NAME_ENGLISH,INFC_ID,INFC_NAME_ITALIAN,INFC_NAME_ENGLISH
BROADLEA,311,Boschi a latifoglie,Broadleaved forests,20,Faggete,Beech
BROADLEA,311,Boschi a latifoglie,Broadleaved forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks
BROADLEA,311,Boschi a latifoglie,Broadleaved forests,22,"Cerrete, boschi di farnetto, fragno e vallonea",Mediterranean oaks
BROADLEA,311,Boschi a latifoglie,Broadleaved forests,23,Castagneti,Chestnut
BROADLEA,311,Boschi a latifoglie,Broadleaved forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
BROADLEA,311,Boschi a latifoglie,Broadleaved forests,26,Altri boschi caducifogli,Other deciduous broadleaved forests
SCLEROPH,3111,Boschi a prev. di querce e alte lat. semp.,Mediterranean evergreen oak forests,30,Leccete ,Holm oak
SCLEROPH,3111,Boschi a prev. di querce e alte lat. semp.,Mediterranean evergreen oak forests,31,Sugherete,Cork oak
SCLEROPH,3111,Boschi a prev. di querce e alte lat. semp.,Mediterranean evergreen oak forests,32,Altre latifoglie sempreverdi,Other evergreen broadleaved forests
BROADLEA,3112,Boschi a prev. di querce caducifoglie,Deciduous oak forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks
BROADLEA,3112,Boschi a prev. di querce caducifoglie,Deciduous oak forests,22,"Cerrete, boschi di farnetto, fragno, vallonea",Mediterranean oaks
BROADLEA,3112,Boschi a prev. di querce caducifoglie,Deciduous oak forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
BROADLEA,3113,Boschi misti a prev. di altre latifoglie autoctone,Mesophilous broadleaved forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks
BROADLEA,3113,Boschi misti a prev. di altre latifoglie autoctone,Mesophilous broadleaved forests,22,"Cerrete, boschi di farnetto, fragno, vallonea",Mediterranean oaks
BROADLEA,3113,Boschi misti a prev. di altre latifoglie autoctone,Mesophilous broadleaved forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
BROADLEA,3114,Boschi a prevalenza di castagno,Chestnut forests,23,Castagneti,Chestnut
BROADLEA,3115,Boschi a prevalenza di faggio,Beech forests,20,Faggete,Beech
TRANSIT,3116,Boschi a prevalenza di specie igrofile,Hygrophilous forests,25,Boschi igrofili,Hygrophilous forests
CONIFER,312,Boschi di conifere,Coniferous forests,10,Boschi di larice e cembro,Larch and Stone pine
CONIFER,312,Boschi di conifere,Coniferous forests,11,Boschi di abete rosso,Norway spruce
CONIFER,312,Boschi di conifere,Coniferous forests,12,Boschi di abete bianco,Fir
CONIFER,312,Boschi di conifere,Coniferous forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
CONIFER,312,Boschi di conifere,Coniferous forests,14,"Pinete di pino nero, laricio e loricato",Black pines
CONIFER,312,Boschi di conifere,Coniferous forests,15,Pinete di pini mediterranei,Coniferous plantations
CONIFER,312,Boschi di conifere,Coniferous forests,16,"Altri boschi di conifere, pure o miste",Mediterranean pines
CONIFER,312,Boschi di conifere,Coniferous forests,17,Piantagioni di conifere,Other coniferous forests
CONIFER,3121,Boschi a prev. di pini mediterranei e cipressi,Mediterranean pine forests,15,Pinete di pini mediterrane,Mediterranean pines
CONIFER,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
CONIFER,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,14,"Pinete di pino nero, laricio e loricato",Black pines
CONIFER,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,17,Piantagioni di conifere,Coniferous plantations
CONIFER,3123,Boschi a prev. di abeti,Silver fir and/or Norway spruce forests,11,Boschi di abete rosso,Norway spruce
CONIFER,3123,Boschi a prev. di abeti,Silver fir and/or Norway spruce forests,12,Boschi di abete bianco,Fir
CONIFER,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
CONIFER,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,14,"Pinete di pino nero, laricio e loricato",Black pines
CONIFER,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,17,Piantagioni di conifere,Coniferous plantations
CONIFER,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
CONIFER,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,14,"Pinete di pino nero, laricio e loricato",Black pines
CONIFER,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,17,Piantagioni di conifere,Coniferous plantations
MIXED,313,Boschi misti,Mixed forests,10,Boschi di larice e cembro,Larch and Stone pine
MIXED,313,Boschi misti,Mixed forests,11,Boschi di abete rosso,Norway spruce
MIXED,313,Boschi misti,Mixed forests,12,Boschi di abete bianco,Fir
MIXED,313,Boschi misti,Mixed forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
MIXED,313,Boschi misti,Mixed forests,14,"Pinete di pino nero, laricio e loricato",Black pines
MIXED,313,Boschi misti,Mixed forests,15,Pinete di pini mediterranei,Mediterranean pines
MIXED,313,Boschi misti,Mixed forests,16,"Altri boschi di conifere, pure o miste",Other coniferous forests
MIXED,313,Boschi misti,Mixed forests,17,Piantagioni di conifere,Coniferous plantations
MIXED,313,Boschi misti,Mixed forests,20,Faggete,Beech
MIXED,313,Boschi misti,Mixed forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks
MIXED,313,Boschi misti,Mixed forests,22,"Cerrete, boschi di farnetto, fragno e vallonea",Mediterranean oaks
MIXED,313,Boschi misti,Mixed forests,23,Castagneti,Chestnut
MIXED,313,Boschi misti,Mixed forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
MIXED,313,Boschi misti,Mixed forests,25,Boschi igrofili,Hygrophilous forests
MIXED,313,Boschi misti,Mixed forests,26,Altri boschi caducifogli,Other deciduous broadleaved forests
MIXED,313,Boschi misti,Mixed forests,30,Leccete,Holm oak
MIXED,313,Boschi misti,Mixed forests,31,Sugherete,Cork oak
MIXED,313,Boschi misti,Mixed forests,32,Altri boschi di latifoglie sempreverdi,Other evergreen broadleaved forests
MIXED,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",20,Faggete,Beech
MIXED,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",21,"Querceti di rovere, roverella e farnia",Temperate oaks
MIXED,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",22,"Cerrete, boschi di farnetto, fragno e vallonea",Mediterranean oaks
MIXED,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",23,Castagneti,Chestnut
MIXED,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",24,"Ostrieti, carpineti",Hornbeam and Hophornbeam
MIXED,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",25,Boschi igrofili,Hygrophilous forests
MIXED,3131,Boschi misti a prevalenza di latifoglie,"Mixed forests, mainly broadleaved",26,Altri boschi caducifogli,Other deciduous broadleaved forests
MIXED,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",10,Boschi di larice e cembro,Larch and Stone pine
MIXED,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",11,Boschi di abete rosso,Norway spruce
MIXED,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",12,Boschi di abete bianco,Fir
MIXED,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",13,Pinete di pino silvestre e montano,Scots pine and Mountain pine
MIXED,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",14,"Pinete di pino nero, laricio e loricato",Black pines
MIXED,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",15,Pinete di pini mediterranei,Mediterranean pines
MIXED,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",16,"Altri boschi di conifere, pure o miste",Other coniferous forests
MIXED,3132,Boschi misti a prevalenza di conifere,"Mixed forests, mainly coniferous",17,Piantagioni di conifere,Coniferous plantations
SCLEROPH,323,Vegetazione sclerofila,Sclerophyll  forests,30,Leccete,Holm oak
SCLEROPH,323,Vegetazione sclerofila,Sclerophyll  forests,31,Sugherete,Cork oak
SCLEROPH,323,Vegetazione sclerofila,Sclerophyll  forests,32,Altri boschi di latifoglie sempreverdi,Other evergreen broadleaved forests
SCLEROPH,3231,Macchia alta,High maquis,50,Macchia alta,High maquis
